@relation temperature_byhour

@attribute READING_DATE numeric
@attribute 'Forge Hallway - Temperature' numeric
@attribute 'Forge Room - Temperature' numeric
@attribute 'IT Closet-Temperature' numeric
@attribute 'Temp South Wall' numeric
@attribute 'Temperature North Wall' numeric
@attribute TimeOfDay numeric

@data
5,18.575,20.23333,25.83333,1.175,2.75,2
7,18.38333,20.04167,25.66667,1.01667,2.45,0
7,18.25833,19.9,25.45,0.95833,2.63333,0
7,18.125,19.675,25.275,0.85,2.33333,0
7,18.03333,19.575,25.125,0.75833,2.475,0
7,17.90833,19.45833,24.95833,0.69167,2.31667,0
7,17.90833,19.30833,24.83333,0.25,2.78333,0
7,18.93333,20.475,25.05,0.25,2.75833,0
7,18.65,19.73333,25.04167,2.81667,3.10833,0
7,18.50833,19.61667,24.91667,3.63333,3.91667,0
7,18.34167,19.55833,24.8,3.44167,4.15,1
7,18.26667,19.5,24.75,3.9,5.23333,1
7,18.2,19.425,24.68333,3.83333,5.30833,1
7,18.2,19.40833,24.69167,4.14167,5.75833,0
7,18.18333,19.375,24.66667,4.15833,5.71667,1
7,18.20833,19.34167,24.66667,4.24167,5.76667,1
7,18.18333,19.36667,24.66667,4.55,6.13333,1
7,18.16667,19.3,24.63333,4.5,6.28333,1
7,18.00833,19.29167,24.6,4.025,6.25,2
7,18.51667,19.26667,24.6,3.55,6.075,2
7,18.5,19.3,24.61667,3.35833,5.725,2
7,18.29167,19.28333,24.6,3.03333,5.19167,2
7,18.25833,19.20833,24.53333,2.68333,4.95833,2
7,18.31667,19.86667,24.525,2.40833,4.65833,2
3,18.03333,19.325,24.625,2.06667,4.24167,0
3,18.35,20.15833,24.64167,1.58333,4.05,0
3,17.99167,19.30833,24.63333,1.33333,3.94167,0
3,18.31667,20.025,24.65833,0.99167,3.65833,0
3,17.91667,19.25833,24.575,1.64167,2.88333,0
3,18.34167,20,24.6,1.94167,2.425,0
3,18.23333,19.35,24.60833,1.41667,2.61667,0
3,18.5,19.29167,24.59167,1.5,2.64167,0
3,18.38333,19.3,24.59167,1.73333,2.825,0
3,18.15,19.275,24.475,2.35833,2.79167,1
3,18,19.14167,24.4,3.08333,2.55,1
3,17.96667,19.125,24.375,5.24167,3.46667,1
3,18.18333,19.14167,24.325,6.40833,3.59167,0
3,18.23333,19.175,24.36667,6.85833,3.775,1
3,18.26667,19.175,24.4,6.71667,3.8,1
3,18.23333,19.19167,24.4,5.80833,3.6,1
3,18.08333,19.10833,24.4,5.66667,3.25,1
3,18,19.025,24.4,4.75833,2.8,2
3,18.38333,20.01667,24.46667,3.55833,2.275,2
3,18.59167,19.35833,24.55,2.49167,1.63333,2
3,18.325,19.20833,24.43333,1.89167,0.98333,2
3,18.125,18.98333,24.33333,1.79167,0.28333,2
3,17.975,18.875,24.2,-0.15833,-0.025,2
3,18.48333,20.10833,24.53333,-1.14167,0.11667,2
6,17.9,19.05,24.43333,-0.7,0.30833,0
6,18.44167,20.075,24.6,-0.225,-0.125,0
6,18.3,19.93333,24.49167,-0.48333,-0.575,0
6,18.05833,19.30833,24.53333,-0.94167,-1.03333,0
6,18.35833,20.15833,24.56667,-1.125,-1.44167,0
6,17.875,19.15,24.475,-2.19167,-2.15,0
6,18.61667,20.16667,24.625,-2.51667,-2.43333,0
6,18.38333,19.20833,24.475,-3.18333,-2.30833,0
6,20.70833,22.45833,25.05,1.9,-2.18333,0
6,21.29167,22.43333,26.16667,8.74167,-1.65833,1
6,21.6,22.55833,26.55833,12.65833,-1.15833,1
6,21.16667,21.79167,26.73333,15.80833,-0.125,1
6,21.475,21.825,26.95833,16.03333,1.15,0
6,22.29167,22.05,27.29167,15.35833,1.39167,1
6,23.51667,22.51667,27.65,16.41667,2.33333,1
6,24.80833,23.46667,28.2,12.45,3.79167,1
6,25.7,24.125,28.775,8.675,5.29167,1
6,25.875,24.6,29.21667,6.51667,6.575,2
6,24.925,24.49167,29.43333,4.03333,5.71667,2
6,22.91667,23.76667,29.15,2.69167,4.21667,2
6,21.5,22.96667,28.59167,1.78333,3.73333,2
6,20.56667,22.20833,27.95,1.03333,3.125,2
6,19.9,21.60833,27.3,0.23333,1.88333,2
6,19.44167,21.11667,26.86667,-0.24167,1.925,2
7,19.075,20.725,26.375,-0.78333,1.74167,0
7,18.81667,20.4,25.98333,-1.44167,1.38333,0
7,18.575,20.13333,25.65833,-1.91667,1.04167,0
7,18.33333,19.9,25.34167,-2.53333,0.575,0
7,18.15833,19.65833,25.06667,-3.03333,-0.35833,0
7,17.95,19.5,24.85833,-3.4,-0.28333,0
7,18.05,19.4,24.775,-2.88333,-0.28333,0
7,18.425,19.55,24.79167,-2.95833,-0.86667,0
7,20.48333,22.13333,25.45833,1.23333,-0.26667,0
7,21.50833,22.925,26.375,10.14167,1.625,1
7,21.2,22.075,26.7,14.06667,3.1,1
7,21.90833,22.80833,27.025,17.39167,4.875,1
7,22.79167,23.33333,27.425,18.3,6.58333,0
7,23.29167,23.39167,27.81667,17.18333,7.48333,1
7,23.61667,23.71667,29.55833,15.13333,8.25833,1
7,24.08333,23.71667,32.04167,12.975,9.08333,1
7,24.2,23.775,33.36667,9.675,8.575,1
7,23.21667,23.59167,34.075,7.91667,7.45833,2
7,22.425,23.175,34.24167,6.625,6.61667,2
7,21.59167,22.74167,34.13333,5.65833,5.90833,2
7,20.91667,22.24167,33.86667,5.36667,5.70833,2
7,20.44167,21.83333,33.65833,5.225,6,2
7,20.05833,21.49167,33.40833,5.13333,6.05,2
7,19.73333,21.20833,33.20833,4.6,6.1,2
3,19.46667,20.94167,32.96667,4.40833,6.00833,0
3,19.28333,20.69167,32.66667,3.99167,5.88333,0
3,19.04167,20.45833,32.375,3.875,5.70833,0
3,18.95,20.31667,32.10833,3.7,5.575,0
3,18.84167,20.13333,31.94167,3.65,5.45,0
3,18.71667,20.025,31.775,3.68333,5.58333,0
3,18.875,20.00833,31.65,4.575,5.89167,0
3,19.23333,20.31667,31.6,5.79167,6.13333,0
3,21.05,22.65833,31.90833,4.275,6.15,0
3,20.95,21.70833,32.54167,4.71667,6.59167,1
3,21.18333,22.43333,33.01667,5.49167,7.125,1
3,21.39167,22.625,33.28333,6.90833,7.76667,1
3,21.54167,22.93333,33.55833,7.6,8.16667,0
3,20.88333,21.85,33.71667,8.9,8.11667,1
3,21.125,21.74167,33.75833,12.19167,8.925,1
3,21.73333,21.88333,33.83333,13.41667,9.44167,1
3,24.00833,22.46667,33.98333,12.425,10.48333,1
3,24.60833,22.96667,34.28333,11.35,11.94167,2
3,24.075,23.00833,34.5,9.18333,12.06667,2
3,22.525,22.68333,34.55833,7.38333,10.41667,2
3,21.05,21.975,34.29167,6.29167,9.15833,2
3,20.15833,21.35833,33.86667,5.39167,8.15,2
3,19.475,20.76667,33.45,4.10833,6.675,2
3,18.94167,20.275,33.15833,3.71667,6.56667,2
5,18.475,19.85833,32.78333,3.15,6.05833,0
5,18.125,19.51667,32.38333,2.975,6.13333,0
5,17.79167,19.23333,31.98333,2.75,5.24167,0
5,17.69167,18.99167,31.64167,3.18333,5.58333,0
5,17.5,18.85833,31.41667,2.68333,5.1,0
5,17.4,18.64167,31.16667,2.525,5.61667,0
5,17.30833,18.475,31.03333,2.89167,4.59167,0
5,17.70833,18.625,30.925,3.93333,5.80833,0
5,20.50833,22.1,31.10833,4.80833,6.38333,0
5,21.25833,22.325,31.98333,8.83333,7.71667,1
5,21.1,21.84167,32.4,12.425,9.45,1
5,21.375,21.99167,32.68333,15.18333,10.84167,1
5,21.80833,22.15833,33.09167,17.10833,12.10833,0
5,22.56667,22.45833,33.4,17.96667,13.825,1
5,22.74167,22.95833,33.73333,17.16667,14.05,1
5,22.7,23.28333,33.40833,16.825,14.675,1
5,22.78333,23.3,30.25833,16.65,15.43333,1
5,23.44167,23.35,29.40833,16.15,16.1,2
5,23.06667,23.35,29.15,15.40833,15.50833,2
5,22.26667,23.025,28.80833,14.5,14.59167,2
5,21.75,22.675,28.46667,14.05833,14.26667,2
5,21.46667,22.5,28.13333,14.85,14.3,2
5,21.45,22.45833,27.875,14.65833,14.58333,2
5,21.15833,22.16667,27.85833,14.16667,14.56667,2
1,21.00833,22.00833,27.55833,14.575,14.95833,0
1,20.875,21.89167,27.35833,14.39167,14.93333,0
1,20.78333,21.80833,27.24167,14.73333,15.21667,0
1,20.79167,21.8,27.10833,14.50833,15.16667,0
1,20.73333,21.74167,27.05833,14.48333,14,0
1,20.41667,21.43333,26.875,12.85,11.51667,0
1,20,21.125,26.63333,9.675,9.59167,0
1,19.73333,20.90833,26.4,8.08333,8.49167,0
1,21.20833,22.56667,26.675,11.28333,8.09167,0
1,21,21.71667,26.85,15.94167,8.60833,1
1,21.08333,21.75,26.8,19.59167,9.34167,1
1,21.49167,21.91667,26.89167,21.73333,9.94167,1
1,22.06667,22.20833,27.125,22.13333,11.23333,0
1,22.50833,22.46667,27.38333,21.84167,12.41667,1
1,22.74167,22.69167,27.64167,20.2,12.925,1
1,23.01667,23.08333,27.99167,18.225,13.08333,1
1,22.96667,23.3,28.30833,15.64167,11.725,1
1,22.41667,23.15,28.35833,12.85,9.99167,2
1,21.85833,22.84167,28.21667,12.15,8.16667,2
1,21.33333,22.475,27.96667,9.525,6.93333,2
1,20.81667,22.08333,27.64167,7.89167,6.1,2
1,20.34167,21.75,27.26667,7.73333,5.85833,2
1,19.95,21.36667,26.9,6.14167,4.70833,2
1,19.54167,21.03333,26.7,4.4,4.60833,2
3,19.29167,20.75,26.325,4.8,4.28333,0
3,19.125,20.51667,26,4.975,3.70833,0
3,18.925,20.31667,25.8,4.00833,3.725,0
3,18.76667,20.13333,25.64167,3.525,3.725,0
3,18.6,20.00833,25.43333,3,3.68333,0
3,18.55833,19.91667,25.29167,4.01667,3.075,0
3,18.43333,19.775,25.14167,3.325,2.36667,0
3,18.8,19.71667,25.01667,3.08333,1.98333,0
3,18.84167,19.725,25.03333,8.43333,1.20833,0
3,18.98333,19.68333,25,13.35833,1.71667,1
3,19.30833,19.78333,25,15.75833,2.41667,1
3,19.55833,19.95,25.05,16.3,2.93333,1
3,19.89167,20.09167,25.15,18.15833,3.7,0
3,20.56667,20.43333,25.35833,17.425,4.55833,1
3,20.85833,20.73333,25.63333,16.01667,5.10833,1
3,21.15,20.925,25.78333,13.75,5.79167,1
3,22.10833,21.33333,25.99167,11.60833,6.78333,1
3,23.175,22,26.40833,10.525,7.05833,2
3,23.05833,22.03333,26.75833,10.29167,5.48333,2
3,21.55833,21.65833,26.65,6.24167,3.46667,2
3,20.25833,21.03333,26.25833,3.44167,1.975,2
3,19.61667,20.575,25.90833,1.48333,1.13333,2
3,19.3,20.24167,25.6,0.30833,1.11667,2
3,18.85,19.95,25.35,-0.525,0.41667,2
6,18.5,19.63333,25.01667,-1.26667,-0.05833,0
6,18.25833,19.425,24.75833,-1.80909,-0.7,0
6,18.075,19.26667,24.525,-2.45833,-1.29167,0
6,17.975,19.40833,24.35833,-3.04167,-1.15,0
6,18.5,19.825,24.475,-3.45,-1.1,0
6,17.88333,19.14167,24.3,-3.68333,-1.425,0
6,18.65833,20.24167,24.425,-3.825,-1.35,0
6,18.56667,19.30833,24.4,-3.2,-1.34167,0
6,18.525,19.30833,24.4,2.95,-0.96667,0
6,18.525,19.3,24.35833,8.775,0.65833,1
6,18.675,19.39167,24.375,10.825,2.18333,1
6,18.95,19.525,24.41667,13.58333,4.225,1
6,19.275,19.625,24.55,10.75,5.88333,0
6,19.21667,19.74167,24.60833,9.05,5.93333,1
6,19.54167,19.93333,24.76667,9.25833,7.01667,1
6,19.55,20,24.93333,7.98333,7.18333,1
6,19.33333,20,24.975,7.05833,6.91667,1
6,19.225,19.95833,24.91667,6.10833,6.34167,2
6,19.01667,19.85833,24.90833,4.55833,4.91667,2
6,19.03333,19.73333,24.85833,3.36667,3.875,2
6,18.94167,19.64167,24.8,3.00833,3.66667,2
6,18.8,19.59167,24.8,3.05833,3.68333,2
6,18.69167,19.50833,24.70833,3.10833,3.925,2
6,18.525,19.39167,24.75833,3.025,4.03333,2
2,18.44167,19.325,24.625,2.9,4.23333,0
2,18.35833,19.3,24.59167,2.29167,3.94167,0
2,18.28333,19.3,24.49167,2.28333,4.01667,0
2,18.275,19.275,24.425,2.55833,4.06667,0
2,18.225,19.3,24.45833,2.96667,4.58333,0
2,18.25833,19.3,24.55833,3.225,4.975,0
2,18.48333,19.375,24.625,3.63333,5.1,0
2,19.025,19.6,24.81667,4.43333,5.275,0
2,20.88333,22.33333,25.56667,4.125,5.4,0
2,21.19167,21.63333,26.38333,5.01667,5.975,1
2,21.31667,21.7,26.85,5.93333,6.98333,1
2,21.46667,21.8,27.19167,8.1,8.475,1
2,21.75,22.05833,27.425,9.35833,9.55833,0
2,21.58333,22.125,27.59167,9.675,9.34167,1
2,21.6,21.99167,27.5,12.65833,10.15,1
2,23.525,22.91667,27.875,13.675,10.06667,1
